Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes),Funding Received (USD),Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km)
Eastern Rwanda,Rwanda,911,Eastern Facility 1,Clinic,9,8,26,2809,19,78309,Yes,Yes,69.0,16.6
Eastern Rwanda,Rwanda,3958,Eastern Facility 2,Hospital,20,10,13,14996,12,182049,No,No,68.1,3.6
Southern Zambia,Zambia,3846,Southern Facility 3,Health Center,19,15,33,16732,10,112191,Yes,Yes,74.0,13.2
Eastern Nigeria,Nigeria,9059,Eastern Facility 4,Clinic,66,17,19,19377,58,196483,Yes,Yes,83.7,19.1
Western Kenya,Kenya,6420,Western Facility 5,Clinic,93,20,15,17500,7,89079,Yes,Yes,79.3,8.3
Dar es Salaam,Tanzania,9449,Dar Facility 6,Clinic,80,6,50,1134,25,167998,No,Yes,61.6,8.6
Eastern Nigeria,Nigeria,4683,Eastern Facility 7,Hospital,81,13,40,11160,8,54491,Yes,No,75.2,3.5
Dar es Salaam,Tanzania,9986,Dar Facility 8,Health Center,62,4,9,16672,22,175045,Yes,No,72.2,8.8
Western Uganda,Uganda,2546,Western Facility 9,Hospital,67,11,36,8141,12,79466,Yes,No,84.8,16.2
Eastern Ethiopia,Ethiopia,7225,Eastern Facility 10,Clinic,61,6,21,1203,32,123518,Yes,No,83.3,2.5
Southern Zambia,Zambia,2845,Southern Facility 11,Health Center,72,12,41,13322,19,116168,Yes,No,62.9,11.3
Eastern Ethiopia,Ethiopia,5198,Eastern Facility 12,Hospital,36,19,31,19170,28,47426,Yes,Yes,64.7,1.4
Eastern Nigeria,Nigeria,3465,Eastern Facility 13,Clinic,46,6,10,9953,32,162788,No,Yes,64.3,8.9
Dar es Salaam,Tanzania,2982,Dar Facility 14,Health Center,5,20,33,9070,5,157457,No,No,86.6,6.0
Eastern Rwanda,Rwanda,6489,Eastern Facility 15,Hospital,55,6,36,18249,5,48610,Yes,No,60.6,13.2
Central Malawi,Malawi,7746,Central Facility 16,Clinic,87,3,33,5173,50,72750,No,No,60.8,2.1
Central Malawi,Malawi,8516,Central Facility 17,Clinic,90,12,5,2539,37,192374,Yes,No,64.7,15.8
Dar es Salaam,Tanzania,7628,Dar Facility 18,Hospital,46,4,34,2569,8,161012,Yes,No,68.0,5.6
Central Malawi,Malawi,6033,Central Facility 19,Hospital,15,7,5,3787,56,28632,No,Yes,79.9,10.6
Western Uganda,Uganda,5465,Western Facility 20,Clinic,59,11,24,12957,33,105009,Yes,Yes,69.4,17.1
Central Senegal,Senegal,8818,Central Facility 21,Clinic,43,6,28,18029,39,20258,Yes,No,74.9,1.8
Central Senegal,Senegal,4172,Central Facility 22,Clinic,24,16,22,13836,10,109217,Yes,No,61.0,4.6
Eastern Nigeria,Nigeria,9007,Eastern Facility 23,Hospital,30,20,32,11184,26,138703,No,Yes,62.7,16.9
Southern Zambia,Zambia,1608,Southern Facility 24,Clinic,16,19,21,14262,16,172709,No,Yes,72.3,17.0
Eastern Nigeria,Nigeria,9240,Eastern Facility 25,Clinic,60,10,23,12365,30,39125,No,Yes,79.0,10.6
Western Kenya,Kenya,4885,Western Facility 26,Health Center,40,3,28,11665,53,112853,Yes,Yes,65.1,7.9
Eastern Rwanda,Rwanda,8360,Eastern Facility 27,Health Center,86,3,9,11428,42,142525,Yes,No,94.0,4.3
Eastern Ethiopia,Ethiopia,5047,Eastern Facility 28,Hospital,48,8,10,4606,33,128037,Yes,Yes,62.1,9.8
Dar es Salaam,Tanzania,6692,Dar Facility 29,Health Center,75,9,45,16760,52,179291,No,Yes,63.4,6.0
Dar es Salaam,Tanzania,9059,Dar Facility 30,Clinic,20,10,38,11823,48,111584,No,No,64.5,2.2
Western Kenya,Kenya,7913,Western Facility 31,Health Center,20,12,8,13733,20,15526,No,No,94.5,5.5
Eastern Ethiopia,Ethiopia,6084,Eastern Facility 32,Health Center,46,1,33,16291,48,97018,Yes,Yes,91.1,8.8
Eastern Rwanda,Rwanda,3415,Eastern Facility 33,Clinic,95,15,10,17088,15,139805,Yes,No,65.0,4.4
Northern Ghana,Ghana,8014,Northern Facility 34,Hospital,15,12,24,7620,51,33585,Yes,No,62.6,1.8
Eastern Nigeria,Nigeria,4102,Eastern Facility 35,Clinic,14,1,47,1563,5,40938,Yes,No,92.7,19.1
Northern Ghana,Ghana,9113,Northern Facility 36,Health Center,95,14,35,5519,37,168159,No,Yes,60.3,8.4
Central Malawi,Malawi,4399,Central Facility 37,Hospital,59,3,37,16915,31,95361,Yes,No,61.2,9.7
Southern Zambia,Zambia,6330,Southern Facility 38,Hospital,32,11,17,10372,10,75640,No,Yes,66.2,2.6
Central Senegal,Senegal,5048,Central Facility 39,Clinic,61,15,29,16819,38,82165,Yes,No,71.7,17.3
Dar es Salaam,Tanzania,1049,Dar Facility 40,Clinic,87,4,13,16231,46,120467,Yes,Yes,89.6,14.5
Northern Ghana,Ghana,3439,Northern Facility 41,Health Center,9,15,20,14896,54,168856,No,Yes,93.2,5.0
Northern Ghana,Ghana,5818,Northern Facility 42,Clinic,7,11,37,3970,35,70420,Yes,Yes,75.1,18.9
Northern Ghana,Ghana,587,Northern Facility 43,Hospital,41,14,25,1141,10,161888,Yes,Yes,64.6,8.5
Eastern Nigeria,Nigeria,3319,Eastern Facility 44,Health Center,5,6,30,9444,14,27986,Yes,No,86.3,19.4
Eastern Rwanda,Rwanda,6228,Eastern Facility 45,Hospital,18,1,23,5881,22,145360,No,Yes,67.9,13.3
Western Uganda,Uganda,3936,Western Facility 46,Health Center,20,6,12,5569,59,117315,No,Yes,63.2,19.6
Eastern Nigeria,Nigeria,7229,Eastern Facility 47,Hospital,46,12,12,15347,27,17031,Yes,Yes,66.2,18.8
Central Senegal,Senegal,5646,Central Facility 48,Clinic,84,6,32,11976,18,132592,No,No,80.2,11.5
Western Uganda,Uganda,7666,Western Facility 49,Hospital,91,20,24,4626,35,111316,Yes,No,88.6,19.2
Eastern Ethiopia,Ethiopia,6011,Eastern Facility 50,Clinic,69,3,46,10287,24,47658,No,Yes,92.6,16.9
Western Uganda,Uganda,9624,Western Facility 51,Health Center,39,17,11,11739,20,92924,No,Yes,89.4,12.0
Southern Zambia,Zambia,8222,Southern Facility 52,Hospital,73,1,27,9753,59,39046,No,Yes,84.9,15.5
Eastern Nigeria,Nigeria,3208,Eastern Facility 53,Health Center,84,18,28,3551,25,78756,No,No,87.5,16.3
Dar es Salaam,Tanzania,7154,Dar Facility 54,Clinic,79,10,19,1081,31,54336,No,No,85.5,4.2
Western Kenya,Kenya,3997,Western Facility 55,Hospital,41,14,42,9787,16,22197,No,No,88.8,7.5
Dar es Salaam,Tanzania,6338,Dar Facility 56,Clinic,12,4,34,3220,8,124057,No,No,69.6,14.0
Western Uganda,Uganda,6453,Western Facility 57,Clinic,41,5,42,15917,45,164676,Yes,No,84.5,3.5
Eastern Ethiopia,Ethiopia,1160,Eastern Facility 58,Hospital,25,15,7,4180,37,23105,No,Yes,67.1,12.6
Western Uganda,Uganda,2059,Western Facility 59,Hospital,88,14,47,12971,37,170959,No,Yes,73.4,7.4
Western Uganda,Uganda,4536,Western Facility 60,Hospital,89,9,25,7204,40,108810,Yes,Yes,69.0,1.8
Southern Zambia,Zambia,3501,Southern Facility 61,Health Center,82,10,32,18898,27,175789,Yes,Yes,61.9,19.5
Eastern Nigeria,Nigeria,9687,Eastern Facility 62,Hospital,100,7,44,19207,24,89045,Yes,Yes,68.2,10.2
Dar es Salaam,Tanzania,8706,Dar Facility 63,Clinic,73,15,41,14368,14,152127,No,No,78.5,14.2
Central Senegal,Senegal,3173,Central Facility 64,Clinic,10,8,48,16714,60,78063,Yes,Yes,76.9,15.1
Western Kenya,Kenya,5770,Western Facility 65,Clinic,66,17,25,11392,38,30628,No,No,65.2,11.0
Eastern Nigeria,Nigeria,5680,Eastern Facility 66,Clinic,100,2,13,13244,41,44273,No,No,84.0,9.9
Southern Zambia,Zambia,7754,Southern Facility 67,Health Center,70,16,24,10568,46,175861,No,Yes,91.6,3.7
Eastern Rwanda,Rwanda,4220,Eastern Facility 68,Hospital,91,5,13,16790,27,86874,Yes,No,71.4,3.3
Western Kenya,Kenya,6194,Western Facility 69,Hospital,7,18,41,8177,51,158683,Yes,No,82.8,2.7
Eastern Ethiopia,Ethiopia,6219,Eastern Facility 70,Health Center,60,19,18,14711,54,111431,Yes,Yes,83.3,1.7
Eastern Ethiopia,Ethiopia,9078,Eastern Facility 71,Hospital,59,17,33,14547,41,139380,No,No,68.3,15.2
Eastern Rwanda,Rwanda,3434,Eastern Facility 72,Hospital,90,2,6,7812,20,59629,No,No,88.1,18.5
Southern Zambia,Zambia,4986,Southern Facility 73,Health Center,76,9,25,8310,25,151376,No,No,81.1,3.6
Dar es Salaam,Tanzania,2021,Dar Facility 74,Clinic,21,7,49,8983,53,38321,Yes,Yes,92.9,4.3
Eastern Rwanda,Rwanda,4984,Eastern Facility 75,Clinic,81,10,28,18067,51,47284,No,No,91.1,1.3
Dar es Salaam,Tanzania,7075,Dar Facility 76,Hospital,21,20,6,19399,57,128089,Yes,Yes,67.6,9.2
Eastern Ethiopia,Ethiopia,1330,Eastern Facility 77,Clinic,15,20,47,9458,30,125080,No,No,60.5,16.5
Central Senegal,Senegal,3784,Central Facility 78,Clinic,96,5,50,15099,10,163146,No,No,88.3,4.4
Northern Ghana,Ghana,5377,Northern Facility 79,Clinic,7,6,32,17897,19,52225,No,Yes,74.9,16.7
